"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/InfinityBladeWeapons/Weapons/Blade/Axes/Blade_Hatchet02/M_Blade_Hatchet02.M_Blade_Hatchet02","0","29","29","1","21.499645","0","0"
"/Game/InfinityBladeWarriors/Character/CompleteCharacters/Textures_Materials/CharM_solid/M_CharM_Solid_Alternate.M_CharM_Solid_Alternate","0","29","29","1","20.546314","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blade/Axes/Blade_SegmentedB/M_Blade_SegmentedB.M_Blade_SegmentedB","0","29","29","1","21.605234","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blade/Axes/Blade_Segmented/M_Blade_Segmented.M_Blade_Segmented","0","29","29","1","20.781616","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blade/Axes/Blade_TAxe/M_Blade_TAxe.M_Blade_TAxe","0","29","29","1","20.450985","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blade/Axes/Blade_IceElemental/M_Blade_IceElemental.M_Blade_IceElemental","0","29","29","1","20.952475","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blade/Axes/Blade_HeavyAxe/M_Blade_HeavyAxe.M_Blade_HeavyAxe","0","29","29","1","21.288568","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blade/Axes/Blade_Hatchet/M_Blade_Hatchet.M_Blade_Hatchet","0","29","29","1","23.618195","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blade/Axes/Blade_FrostGiant/M_Blade_FrostGiant.M_Blade_FrostGiant","0","29","29","1","21.060717","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blade/Silly_Weapons/Blade_BatAxe/M_Blade_BatAxe.M_Blade_BatAxe","0","29","29","1","21.622078","0","0"
"/Game/InfinityBladeWarriors/Character/CompleteCharacters/Textures_Materials/CharM_Warrior/M_Char_Warrior.M_Char_Warrior","0","29","29","1","21.694969","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blade/Axes/Blade_TechAxe/M_Blade_TechAxe.M_Blade_TechAxe","0","29","29","1","20.677504","0","0"
"/Game/InfinityBladeWarriors/Character/CompleteCharacters/Textures_Materials/CharM_Pit/M_Char_Pit3.M_Char_Pit3","0","29","29","1","20.525534","0","0"
"/Game/InfinityBladeWarriors/Character/CompleteCharacters/Textures_Materials/CharM_Pit/M_Char_Pit2.M_Char_Pit2","0","29","29","1","20.266413","0","0"
"/Game/InfinityBladeWarriors/Character/CompleteCharacters/Textures_Materials/CharM_Natural/M_Char_Natural.M_Char_Natural","0","29","29","1","20.769657","0","0"
"/Game/InfinityBladeWarriors/Character/CompleteCharacters/Textures_Materials/CharM_Ram/M_Char_Ram.M_Char_Ram","0","29","29","1","20.668400","0","0"
"/Game/InfinityBladeWarriors/Character/CompleteCharacters/Textures_Materials/CharM_Pit/M_Char_Pit.M_Char_Pit","0","29","29","1","20.289288","0","0"
"/Game/InfinityBladeWarriors/Character/CompleteCharacters/Textures_Materials/CharM_Barbarous/M_Char_Barbarous_Elite.M_Char_Barbarous_Elite","0","29","29","1","20.024446","0","0"
"/Game/InfinityBladeWarriors/Character/CompleteCharacters/Textures_Materials/CharM_Golden/M_Char_Golden.M_Char_Golden","0","29","29","1","20.517614","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blade/Axes/Blade_DeadlyAxe/M_Blade_DeadlyAxe.M_Blade_DeadlyAxe","0","29","29","1","22.964005","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blade/Silly_Weapons/Blade_Baguette/M_Blade_Baguette.M_Blade_Baguette","0","29","29","1","22.149939","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","75","75","1","48.866528","0","0"
"/Game/InfinityBladeWarriors/Character/CompleteCharacters/Textures_Materials/CharM_FrostGiant/M_Char_FrostGiant.M_Char_FrostGiant","0","29","29","1","22.220362","0","0"
"/Game/InfinityBladeWarriors/Character/CompleteCharacters/Textures_Materials/CharM_Forge/M_Char_Forge.M_Char_Forge","0","29","29","1","22.017870","0","0"
"/Game/InfinityBladeWarriors/Character/CompleteCharacters/Textures_Materials/CharM_Bladed/M_CharM_Bladed.M_CharM_Bladed","0","29","29","1","20.713451","0","0"
"/Game/InfinityBladeWarriors/Character/CompleteCharacters/Textures_Materials/CharM_solid/M_Char_Solid.M_Char_Solid","0","29","29","1","20.415615","0","0"
"/Game/InfinityBladeWarriors/Character/CompleteCharacters/Textures_Materials/CharM_Base/M_CharM_Base.M_CharM_Base","0","29","29","1","20.403303","0","0"
"/Game/InfinityBladeWarriors/Character/CompleteCharacters/Textures_Materials/CharM_Barbarous/M_Char_Barbrous.M_Char_Barbrous","0","29","29","1","20.787336","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blade/Axes/Blade_SmAxe/T_Blade_SmAxe1_Mat.T_Blade_SmAxe1_Mat","0","26","26","1","20.587276","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blade/Axes/Blade_RandorAxe/M_Blade_RandorAxe.M_Blade_RandorAxe","0","29","29","1","21.689161","0","0"
"/Game/InfinityBladeWeapons/Weapons/Staff/Materials/T_Stf_StaffofAncients_D_Mat.T_Stf_StaffofAncients_D_Mat","0","26","26","1","22.191711","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blunt/Blunt_BoneShard/Materials/T_Blunt_BoneShardMace_D_Mat.T_Blunt_BoneShardMace_D_Mat","0","17","17","1","14.400471","0","0"
"/Game/InfinityBladeWarriors/Character/CompleteCharacters/Textures_Materials/CharM_Cardboard/M_Char_Cardboard.M_Char_Cardboard","0","29","29","1","19.858484","0","0"
"/Game/InfinityBladeWarriors/Character/CompleteCharacters/Textures_Materials/CharM_Tusk/M_Char_Talon.M_Char_Talon","0","29","29","1","20.430367","0","0"
"/Game/InfinityBladeWarriors/Character/CompleteCharacters/Textures_Materials/CharM_Tusk/M_Char_Horn.M_Char_Horn","0","29","29","1","20.700195","0","0"
